MAW, CZT, HBK, LMM, MLT, ELT, QSB, ISK, SUA, LVV, BEL, HLP, TAR, LOV, UPS, NUR, HAN, OUJ, PEL, SOD, KIR, MUO, IVA, ABK, KIL, MAS, AND, TRO, SOR, BJN, HOR, HRN, ALE
0.07, 0.82, 0.79, 0.79, 0.79, 0.78, 0.83, 0.83, 0.86, 0.85, 0.88, 0.86, 0.88, 0.87, 0.88, 0.89, 0.88, 0.92, 1.00, 1.00, 0.97, 0.98, 0.97, 0.97, 0.96, 0.95, 0.95, 0.94, 0.90, 0.53, 0.40, 0.41, 0.03
0.07, 0.82, 0.79, 0.79, 0.79, 0.78, 0.83, 0.83, 0.86, 0.85, 0.88, 0.86, 0.88, 0.87, 0.88, 0.89, 0.88, 0.91, 1.00, 1.00, 0.97, 0.99, 0.98, 0.97, 0.97, 0.96, 0.95, 0.95, 0.91, 0.54, 0.40, 0.41, 0.03
0.00, 0.87, 0.82, 0.84, 0.85, 0.84, 0.87, 0.88, 0.90, 0.89, 0.91, 0.89, 0.92, 0.91, 0.92, 0.93, 0.92, 0.87, 0.97, 0.97, 1.00, 0.99, 0.98, 0.99, 0.98, 0.97, 0.98, 0.96, 0.93, 0.57, 0.41, 0.42, 0.00
0.03, 0.84, 0.80, 0.81, 0.81, 0.80, 0.85, 0.85, 0.87, 0.87, 0.89, 0.87, 0.90, 0.88, 0.89, 0.90, 0.90, 0.90, 0.98, 0.99, 0.99, 1.00, 1.00, 0.99, 0.99, 0.98, 0.98, 0.97, 0.94, 0.57, 0.40, 0.40, 0.01
0.03, 0.83, 0.79, 0.80, 0.80, 0.79, 0.84, 0.84, 0.87, 0.86, 0.89, 0.86, 0.89, 0.87, 0.88, 0.89, 0.90, 0.90, 0.97, 0.98, 0.98, 1.00, 1.00, 0.99, 0.99, 0.99, 0.98, 0.98, 0.94, 0.57, 0.39, 0.39, 0.01
0.00, 0.85, 0.81, 0.82, 0.83, 0.82, 0.86, 0.86, 0.89, 0.88, 0.91, 0.88, 0.91, 0.89, 0.90, 0.92, 0.92, 0.88, 0.97, 0.97, 0.99, 0.99, 0.99, 1.00, 0.99, 0.98, 0.98, 0.98, 0.94, 0.57, 0.38, 0.39, 0.00
0.01, 0.84, 0.81, 0.82, 0.81, 0.81, 0.85, 0.85, 0.88, 0.87, 0.89, 0.87, 0.89, 0.87, 0.88, 0.90, 0.91, 0.88, 0.96, 0.97, 0.98, 0.99, 0.99, 0.99, 1.00, 0.99, 0.99, 0.99, 0.96, 0.59, 0.37, 0.40, 0.01
0.02, 0.84, 0.80, 0.82, 0.81, 0.81, 0.85, 0.85, 0.87, 0.86, 0.89, 0.86, 0.89, 0.86, 0.87, 0.89, 0.91, 0.86, 0.95, 0.96, 0.97, 0.98, 0.99, 0.98, 0.99, 1.00, 0.99, 0.99, 0.98, 0.62, 0.38, 0.41, 0.01
0.01, 0.88, 0.85, 0.86, 0.86, 0.86, 0.89, 0.89, 0.90, 0.90, 0.91, 0.90, 0.92, 0.90, 0.90, 0.92, 0.91, 0.85, 0.95, 0.95, 0.98, 0.98, 0.98, 0.98, 0.99, 0.99, 1.00, 1.00, 0.98, 0.65, 0.39, 0.42, 0.01
0.01, 0.87, 0.83, 0.84, 0.84, 0.84, 0.88, 0.87, 0.89, 0.88, 0.90, 0.88, 0.90, 0.88, 0.88, 0.90, 0.91, 0.85, 0.94, 0.95, 0.96, 0.97, 0.98, 0.98, 0.99, 0.99, 1.00, 1.00, 0.99, 0.65, 0.39, 0.42, 0.01
0.02, 0.87, 0.84, 0.85, 0.85, 0.85, 0.87, 0.87, 0.88, 0.88, 0.89, 0.88, 0.89, 0.86, 0.86, 0.88, 0.88, 0.81, 0.90, 0.91, 0.93, 0.94, 0.94, 0.94, 0.96, 0.98, 0.98, 0.99, 1.00, 0.73, 0.45, 0.48, 0.02
0.14, 0.64, 0.65, 0.64, 0.65, 0.65, 0.63, 0.62, 0.62, 0.62, 0.59, 0.61, 0.59, 0.61, 0.61, 0.57, 0.51, 0.40, 0.53, 0.54, 0.57, 0.57, 0.57, 0.57, 0.59, 0.62, 0.65, 0.65, 0.73, 1.00, 0.82, 0.83, 0.10
0.23, 0.40, 0.44, 0.43, 0.39, 0.40, 0.38, 0.38, 0.39, 0.39, 0.41, 0.39, 0.40, 0.38, 0.38, 0.41, 0.42, 0.42, 0.40, 0.40, 0.41, 0.40, 0.39, 0.38, 0.37, 0.38, 0.39, 0.39, 0.45, 0.82, 1.00, 0.98, 0.14
0.23, 0.41, 0.46, 0.45, 0.42, 0.43, 0.40, 0.39, 0.40, 0.40, 0.42, 0.40, 0.41, 0.39, 0.39, 0.41, 0.43, 0.42, 0.41, 0.41, 0.42, 0.40, 0.39, 0.39, 0.40, 0.41, 0.42, 0.42, 0.48, 0.83, 0.98, 1.00, 0.14
0.68, 0.00, 0.01, 0.01, 0.00, -8.05E-05, 0.00, 0.00, 4.57E-05, -6.55E-05, 6.66E-05, -7.06E-05, 9.19E-05, 0.00, 0.00, 0.00, 0.00, 0.08, 0.03, 0.03, 0.00, 0.01, 0.01, 0.00, 0.01, 0.01, 0.01, 0.01, 0.02, 0.10, 0.14, 0.14, 1.00
