"Station","Date_UTC","Wavelet","Data.D1","Data.D2","Data.D3","Data.D4","Data.D5","Data.D6","Data.D7","Data.D8","Data.D9","Data.D10","Data.S10"
"BOU","2003-10-29T00:00:00","dBN",-0.321728515625256,-1.056580913068,-4.82105636671983,-0.551168872064711,-1.66889659221394,0.811131824520268,9.13391988989173,6.79185025107652,-46.9979456930071,11.8196686255785,-12.6391936383053
"BOU","2003-10-29T00:01:00","dBN",0.387377929687897,-0.226793062687151,-3.5206550102972,-0.401710796705099,-1.65954309026328,0.821226822277634,9.12212412903266,6.79240382701334,-46.9944975859546,11.8196055741953,-12.6395387362327
"BOU","2003-10-29T00:02:00","dBN",0.268872070312492,0.420542263985262,-1.33753440449291,-0.134451044727419,-1.64226836007664,0.841137478582026,9.09854231288023,6.79351073488494,-46.9876016029463,11.8194794811519,-12.6402289294821
"BOU","2003-10-29T00:03:00","dBN",-0.834252929687867,0.637760096789313,1.09512867867492,0.191019772619261,-1.619123705165,0.870335042178324,9.06319457995135,6.7951705101358,-46.9772581987452,11.8192903662088,-12.6412642128836
"BOU","2003-10-29T00:04:00","dBN",0.80454101562531,0.621744728089167,3.13127539337089,0.499439303187712,-1.59152122679388,0.908099781110551,9.01611285144281,6.7973825168497,-46.9634680431754,11.8190382590692,-12.6426445786954
"BOU","2003-10-29T00:05:00","dBN",-0.298461914062466,0.172136926651033,4.32929141761701,0.717421769283743,-1.5595769474326,0.953579507998892,8.95734210847213,6.80014596387375,-46.9462320151401,11.8187231994435,-12.6443700166229
"BOU","2003-10-29T00:06:00","dBN",-0.0198974609376715,-0.402659261227575,4.50798078771496,0.793946253366338,-1.52196774132369,1.00584228858705,8.88694174406165,6.80345986180744,-46.9255511954198,11.8183452373178,-12.6464405138652
"BOU","2003-10-29T00:07:00","dBN",-0.126245117187578,-0.419419658185046,3.66321058494958,0.714742015565867,-1.47614475775455,1.06392595768721,8.80498646187531,6.80732299978711,-46.9014268645877,11.8179044330458,-12.6488560551163
"BOU","2003-10-29T00:08:00","dBN",0.251098632812796,-0.0576072335243917,1.98370394868856,0.499528630516025,-1.41880711867568,1.1268593735842,8.7115661440431,6.81173388755621,-46.8738605001097,11.8174008577833,-12.6516166225967
"BOU","2003-10-29T00:09:00","dBN",0.181738281250063,0.436054402590848,-0.200159943683489,0.192225168609359,-1.34625420595387,1.1936620217309,8.60678496677249,6.81669068040718,-46.8428537698991,11.8168345943689,-12.6547221961188
"BOU","2003-10-29T00:10:00","dBN",-1.13623046875085,1.13784200549288,-2.42795394924159,-0.144924954478448,-1.25464707305974,1.26333854161602,8.49076030292782,6.82219114133144,-46.8084085307137,11.8162057380483,-12.6581727531021
"BOU","2003-10-29T00:11:00","dBN",1.14389648437582,0.723829722405105,-4.09380608935997,-0.443096155537966,-1.14054126087819,1.3348442177358,8.36362124431781,6.82823253928396,-46.7705268309083,11.8155143972486,-12.6619682686151
"BOU","2003-10-29T00:12:00","dBN",1.02932128906312,-1.57824818492121,-4.6927986243656,-0.643277442685438,-1.00179453281502,1.40703805431941,8.22550684860684,6.8348115318974,-46.7292109182259,11.8147606946519,-12.6661087154617
"BOU","2003-10-29T00:13:00","dBN",-2.65761718750159,-2.6525101721314,-4.00024611435273,-0.707570572684897,-0.838100862267035,1.47866774425294,8.07656558928439,6.84192411780473,-46.6844632458226,11.813944767701,-12.6705940642209
"BOU","2003-10-29T00:14:00","dBN",0.775537109375413,-0.239596724510409,-2.1690281575506,-0.632049989525153,-0.651109029052235,1.54836990926158,7.91695524054811,6.84956562798676,-46.6362864720064,11.8130667688533,-12.6754242833106
"BOU","2003-10-29T00:15:00","dBN",1.66855468750111,2.14417965412367,0.217297188153844,-0.452106827159475,-0.444025831883092,1.6146833772445,7.74684291799788,6.85773076060365,-46.5846834533955,11.8121268659798,-12.6805993390893
"BOU","2003-10-29T00:16:00","dBN",-1.20834960937581,1.32840392589733,2.42117634198474,-0.225173102636869,-0.22033358165047,1.67610687775501,7.56640663630737,6.86641369943907,-46.5296572341732,11.8111252424303,-12.6861191958989
"BOU","2003-10-29T00:17:00","dBN",-0.241967773437801,-0.413541710377081,3.82011831487646,-0.0112762911970471,0.0171931043439961,1.73116208021577,7.37583680796816,6.87560822752932,-46.4712110410181,11.810062097302,-12.6919838161262
"BOU","2003-10-29T00:18:00","dBN",0.292871093750491,-0.598712408543737,4.0637669048089,0.134952743461426,0.266646535810346,1.77843435776827,7.17533679613355,6.88530777454807,-46.4093482832967,11.8089376459288,-12.6981931602894
"BOU","2003-10-29T00:19:00","dBN",0.352416992187552,0.0106787383550923,3.19893718998569,0.175190886936787,0.526588313725132,1.81662659155993,6.96512340537157,6.89550550566953,-46.3440725568405,11.8077521201886,-12.7047471870605
"BOU","2003-10-29T00:20:00","dBN",-0.603125000000399,0.420534187555797,1.57520411530529,0.0964472800270571,0.795245258604874,1.84460076045673,6.74542673593423,6.90619439092741,-46.2753876445835,11.8065057691558,-12.7116458533066
"BOU","2003-10-29T00:21:00","dBN",0.266577148437725,0.475432151556978,-0.300982612536269,-0.0892119550628604,1.06994002913684,1.86137685797701,6.5164889233377,6.91736722644664,-46.2032975152358,11.8051988601822,-12.7188891141657
"BOU","2003-10-29T00:22:00","dBN",0.439355468750206,-0.0775418996808546,-1.88980107074893,-0.342223878342356,1.34696110200871,1.86612242298394,6.27856274674556,6.92901667969442,-46.1278063281624,11.8038316798945,-12.7264769230722
